X;Y;FECHA;CALLE;NUMERO;M2;DOLARES;U_S_M2;FOT;COTIZ;BARRIOS;COMUNA;DIRECCION_NORMALIZADA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-34.57937424332708;-58.45477701819694;26/12/2016;ALVAREZ THOMAS AV.;900;720;1950000;2708,3;0; ;CHACARITA;COMUNA 15;ALVAREZ THOMAS AV. 900;1427;C1427CCV
-34.64490526432558;-58.45647011696434;27/12/2016;ALVAREZ, CRISOSTOMO;2800;332;365000;1099,4;0; ;FLORES;COMUNA 7;ALVAREZ, CRISOSTOMO 2800;1406;C1406HUD
-34.616703867433124;-58.45820260426522; ;ALVAREZ, DONATO, TTE. GRAL.;800;202;365000;1806,9;3,5; ;FLORES;COMUNA 7;ALVAREZ, DONATO, TTE. GRAL. 800;1406;C1406BOS
-34.62121645018437;-58.45606927886565; ;ALVAREZ, DONATO, TTE. GRAL.;400;377;750000;1989,4;3,5; ;FLORES;COMUNA 7;ALVAREZ, DONATO, TTE. GRAL. 400;1406;C1406BOO
-34.62355213773971;-58.455064712055;26/12/2016;ALVAREZ, DONATO, TTE. GRAL.;200;380;650000;1710,5;3,5; ;FLORES;COMUNA 7;ALVAREZ, DONATO, TTE. GRAL. 200;1406;C1406BNO
-34.62355213773971;-58.455064712055;26/12/2016;ALVAREZ, DONATO, TTE. GRAL.;200;500;1100000;2200;3,5; ;FLORES;COMUNA 7;ALVAREZ, DONATO, TTE. GRAL. 200;1406;C1406BNO
-34.59798323460222;-58.432041501725486;03/01/2017;ALVAREZ, JULIAN;800;268;610000;2276,1;0; ;VILLA CRESPO;COMUNA 15;ALVAREZ, JULIAN 800;1414;C1414DRP
-34.59798323460222;-58.432041501725486; ;ALVAREZ, JULIAN;800;210;390000;1857,1;3,5; ;VILLA CRESPO;COMUNA 15;ALVAREZ, JULIAN 800;1414;C1414DRP
-34.59798323460222;-58.432041501725486; ;ALVAREZ, JULIAN;800;268;610000;2276,1;0; ;VILLA CRESPO;COMUNA 15;ALVAREZ, JULIAN 800;1414;C1414DRP
-34.59714585010566;-58.38810218232212; ;ALVEAR, MARCELO T. DE;1500;747;1300000;1740,3;5; ;RECOLETA;COMUNA 2;ALVEAR, MARCELO T. DE 1500;1060;C1060AAB
 ; ; ;ALZAGA;2200;195;270000;1384,6;0; ;BOEDO;COMUNA 5; ; ; 
 ; ; ;ALZAGA;2200;380;420000;1105,3;0; ;BOEDO;COMUNA 5; ; ; 
-34.64238685328656;-58.48781224764295; ;AMEGHINO, FLORENTINO, DR.;600;494;420000;850,2;1,2; ;PARQUE AVELLANEDA;COMUNA 9;AMEGHINO, FLORENTINO, DR. 600;1407;C1407JAB
-34.64874684637851;-58.48011203890779;28/12/2016;AMEGHINO, FLORENTINO, DR.;1300;233;155000;665,2;1,2; ;PARQUE AVELLANEDA;COMUNA 9;AMEGHINO, FLORENTINO, DR. 1300;1407;C1407JAP
-34.55015161752366;-58.47013613571929;28/12/2016;AMENABAR;3600;154;360000;2337,7;0; ;NUÑEZ;COMUNA 13;AMENABAR 3600;1429;C1429AEN
-34.57108154571654;-58.44876456265129; ;AMENABAR;1000;140;610000;4357,1;0; ;COLEGIALES;COMUNA 13;AMENABAR 1000;1426;C1426AJP
 ; ;03/01/2017;AMPERE;800;307;620000;2019,5;0; ;CABALLITO;COMUNA 6; ; ; 
-34.60869008997833;-58.44564086550432;26/12/2016;AMPERE;842;133;395000;2969,9;0; ;CABALLITO;COMUNA 6;AMPERE 842;1405;C1405DFB
-34.609507556105775;-58.49690352997788;27/12/2016;AMSTERDAM;3733;276;240000;869,6;0; ;VILLA DEL PARQUE;COMUNA 11;AMSTERDAM 3733;1417;C1417GDA
 ; ; ;ANCON;5100;227;690000;3039,6;3,5; ;PALERMO;COMUNA 14; ; ; 
