id,long,lat,banco,red,ubicacion,localidad,terminales,no_vidente,dolares,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
39845,-58.3619533679708,-34.642253417485,Banco Itaú,BANELCO,"PALACIOS, ALFREDO L. Y GARIBALDI",CABA,2,False,False,"PALACIOS, ALFREDO L.",0,GARIBALDI,Boca,Comuna 4,,
39936,-58.3619533679708,-34.642253417485,Banco Macro,BANELCO,"PALACIOS, ALFREDO L. Y GARIBALDI",CABA,3,False,False,"PALACIOS, ALFREDO L.",0,GARIBALDI,Boca,Comuna 4,,
41127,-58.3771814869774,-34.5977818137658,HSBC Bank Argentina,BANELCO,PARAGUAY 720,CABA,2,False,False,PARAGUAY,720,,Retiro,Comuna 1,1057,C1057AAJ
41116,-58.3880601174336,-34.6060563339768,HSBC Bank Argentina,BANELCO,PARANA 242,CABA,2,False,False,PARANA,242,,San Nicolas,Comuna 1,1017,C1017AAF
39848,-58.3881194724373,-34.6045041069065,Banco Itaú,BANELCO,PARANA 370,CABA,3,False,False,PARANA,370,,San Nicolas,Comuna 1,1017,C1017AAH
40973,-58.3881385324713,-34.603525190014,Banco Galicia,BANELCO,PARANA 450,CABA,2,False,False,PARANA,450,,San Nicolas,Comuna 1,1017,C1017AAJ
40286,-58.3878485513901,-34.6012249049614,Banco Santander Río,BANELCO,PARANA 645,CABA,2,False,False,PARANA,645,,San Nicolas,Comuna 1,1017,C1017AAM
39728,-58.3883104071959,-34.6007299133593,Banco Comafi,BANELCO,PARANA 696,CABA,1,False,False,PARANA,696,,San Nicolas,Comuna 1,1017,C1017AAN
40679,-58.3876543137249,-34.6088758301843,BBVA Banco Francés,BANELCO,PARANA Y RIVADAVIA AV.,CABA,1,False,False,PARANA,0,RIVADAVIA AV.,San Nicolas,Comuna 1,,
41046,-58.388799503607,-34.6006965380364,CitiBank,BANELCO,PARANA Y VIAMONTE,CABA,3,False,False,PARANA,0,VIAMONTE,San Nicolas,Comuna 1,,
41378,-58.3694840832812,-34.6138894332099,ICBC,BANELCO,PASEO COLON AV. Y REPUBLICA BOLIVARIANA DE VENEZUELA,CABA,1,False,False,PASEO COLON AV.,0,REPUBLICA BOLIVARIANA DE VENEZUELA,Monserrat,Comuna 1,,
41162,-58.3697094933927,-34.6139743340484,HSBC Bank Argentina,BANELCO,PASEO COLON AV. Y REPUBLICA BOLIVARIANA DE VENEZUELA,CABA,1,False,False,PASEO COLON AV.,0,REPUBLICA BOLIVARIANA DE VENEZUELA,Monserrat,Comuna 1,,
40504,-58.3997775311046,-34.6097439907705,Banco Supervielle,BANELCO,PASTEUR Y PICHINCHA,CABA,2,False,False,PASTEUR,0,PICHINCHA,Balvanera,Comuna 3,,
