#X;Y;FECHA;CALLE;NUMERO;M2;DOLARES;U_S_M2;FOT;COTIZ;BARRIOS;COMUNA;DIRECCION_NORMALIZADA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-58.48876704801384;-34.61028220686754;06/06/2017;ALVAREZ JONTE AV.;3260;7000;3150000;450;0;17,5;VILLA SANTA RITA;COMUNA 11;ALVAREZ JONTE AV. 3260;1416;C1416EYR
-58.495357723190835;-34.61432973847979;12/06/2017;ALVAREZ JONTE AV.;3900;171;250000;1462;0;17,5;VILLA DEL PARQUE;COMUNA 11;ALVAREZ JONTE AV. 3900;1407;C1407GOS
-58.495357723190835;-34.61432973847979;09/06/2017;ALVAREZ JONTE AV.;3900;751;1200000;1597,9;0;17,5;VILLA DEL PARQUE;COMUNA 11;ALVAREZ JONTE AV. 3900;1407;C1407GOS
-58.47788709276742;-34.61822298466871;15/06/2017;ARGERICH;1400;292;470000;1609,6;3,5;17,5;VILLA SANTA RITA;COMUNA 11;ARGERICH 1400;1416;C1416AXF
-58.48108854516078;-34.61419627081616;06/06/2017;ARGERICH;1800;288;495000;1718,8;0;17,5;VILLA SANTA RITA;COMUNA 11;ARGERICH 1800;1416;C1416AXN
-58.48108854516078;-34.61419627081616;15/06/2017;ARGERICH;1800;312;445000;1426,3;3,5;17,5;VILLA SANTA RITA;COMUNA 11;ARGERICH 1800;1416;C1416AXN
-58.48108854516078;-34.61419627081616;05/06/2017;ARGERICH;1800;312;450000;1442,3;3,4;17,5;VILLA SANTA RITA;COMUNA 11;ARGERICH 1800;1416;C1416AXN
-58.48188934632345;-34.61319113419944;15/06/2017;ARGERICH;1900;310;510000;1645,2;3,5;17,5;VILLA SANTA RITA;COMUNA 11;ARGERICH 1900;1416;C1416AXP
-58.49070562169528;-34.60235561472315;06/06/2017;ARGERICH;3000;144;460000;3194,4;0;17,5;VILLA DEL PARQUE;COMUNA 11;ARGERICH 3000;1417;C1417CSL
-58.526364853527916;-34.61063025389651;15/06/2017;ASUNCION;5200;185;220000;1189,2;1,2;17,5;VILLA DEVOTO;COMUNA 11;ASUNCION 5200;1419;C1419HHR
-58.48886385143283;-34.60254828692619;06/06/2017;BAIGORRIA;2900;298;385000;1291,9;0;17,5;VILLA DEL PARQUE;COMUNA 11;BAIGORRIA 2900;1417;C1417FRD
-58.500750001729;-34.599094181875856;06/06/2017;BEIRO, FRANCISCO AV.;3400;275;780000;2836,4;0;17,5;VILLA DEL PARQUE;COMUNA 11;BEIRO, FRANCISCO AV. 3400;1419;C1419HYU
-58.500750001729;-34.599094181875856;15/06/2017;BEIRO, FRANCISCO AV.;3400;341;900000;2639,3;0;17,5;VILLA DEL PARQUE;COMUNA 11;BEIRO, FRANCISCO AV. 3400;1419;C1419HYU
-58.506036049328976;-34.60236334374258;06/06/2017;BEIRO, FRANCISCO AV.;3800;361;970000;2687;0;17,5;VILLA DEL PARQUE;COMUNA 11;BEIRO, FRANCISCO AV. 3800;1419;C1419HYY
-58.52026588564273;-34.611132183232144;15/06/2017;BEIRO, FRANCISCO AV.;5000;947;2000000;2111,9;0;17,5;VILLA DEVOTO;COMUNA 11;BEIRO, FRANCISCO AV. 5000;1419;C1419HZY
-58.52073952168904;-34.6112575732353;06/06/2017;BEIRO, FRANCISCO AV.;5019;162;580000;3580,2;0;17,5;VILLA DEVOTO;COMUNA 11;BEIRO, FRANCISCO AV. 5019;1419;C1419HZM
-58.463300553998096;-34.60903877617416;15/06/2017;BELAUSTEGUI, LUIS, DR.;1700;142;350000;2464,8;0;17,5;VILLA GRAL. MITRE;COMUNA 11;BELAUSTEGUI, LUIS, DR. 1700;1416;C1416CXX
-58.46447846478991;-34.60965373884841;05/06/2017;BELAUSTEGUI, LUIS, DR.;1836;480;530000;1104,2;0;17,5;VILLA GRAL. MITRE;COMUNA 11;BELAUSTEGUI, LUIS, DR. 1836;1416;C1416CYB
-58.47925487097473;-34.61735917790541;07/06/2017;BELAUSTEGUI, LUIS, DR.;3041;1000;1200000;1200;0;17,5;VILLA SANTA RITA;COMUNA 11;BELAUSTEGUI, LUIS, DR. 3041;1416;C1416CZK
-58.51376774597999;-34.61621883674823;06/06/2017;BERMUDEZ;2472;459;350000;762,5;0;17,5;VILLA DEVOTO;COMUNA 11;BERMUDEZ 2472;1417;C1417BWL
-58.514728067547324;-34.6154870682227;06/06/2017;BERMUDEZ;2600;184;200000;1087;0;17,5;VILLA DEVOTO;COMUNA 11;BERMUDEZ 2600;1417;C1417BWN
-58.47356700684118;-34.61455803044559;08/06/2017;ESTADO PLURINACIONAL DE BOLIVIA;1500;154;187000;1214,3;0;17,5;VILLA GRAL. MITRE;COMUNA 11;ESTADO PLURINACIONAL DE BOLIVIA 1500;1416;C1416ANH
-58.46879032931803;-34.616263860448186;06/06/2017;BUFANO, ALFREDO R.;1300;409;435000;1063,6;0;17,5;VILLA GRAL. MITRE;COMUNA 11;BUFANO, ALFREDO R. 1300;1416;C1416AJB
-58.46879032931803;-34.616263860448186;09/06/2017;BUFANO, ALFREDO R.;1300;409;480000;1173,6;3,5;17,5;VILLA GRAL. MITRE;COMUNA 11;BUFANO, ALFREDO R. 1300;1416;C1416AJB
-58.46879032931803;-34.616263860448186;06/06/2017;BUFANO, ALFREDO R.;1300;432;410000;949,1;3,4;17,5;VILLA GRAL. MITRE;COMUNA 11;BUFANO, ALFREDO R. 1300;1416;C1416AJB
-58.47271811188078;-34.61120313378547;15/06/2017;BUFANO, ALFREDO R.;1800;480;530000;1104,2;0;17,5;VILLA GRAL. MITRE;COMUNA 11;BUFANO, ALFREDO R. 1800;1416;C1416AJL
-58.473052866330114;-34.61077176063811;06/06/2017;BUFANO, ALFREDO R.;1836;480;530000;1104,2;0;17,5;VILLA GRAL. MITRE;COMUNA 11;BUFANO, ALFREDO R. 1836;1416;C1416AJN
-58.4735049936932;-34.61018926276577;15/06/2017;BUFANO, ALFREDO R.;1900;147;210000;1428,6;0;17,5;VILLA GRAL. MITRE;COMUNA 11;BUFANO, ALFREDO R. 1900;1416;C1416AJN
-58.475646106776054;-34.60743018037307;08/06/2017;BUFANO, ALFREDO R.;2170;403;450000;1116,6;0;17,5;VILLA GRAL. MITRE;COMUNA 11;BUFANO, ALFREDO R. 2170;1416;C1416AJT
-58.511711760096205;-34.58699046146289;06/06/2017;CABEZON, JOSE LEON;3400;379;330000;870,7;0;17,5;VILLA DEVOTO;COMUNA 11;CABEZON, JOSE LEON 3400;1419;C1419FCP
-58.511711760096205;-34.58699046146289;15/06/2017;CABEZON, JOSE LEON;3400;435;390000;896,6;1,2;17,5;VILLA DEVOTO;COMUNA 11;CABEZON, JOSE LEON 3400;1419;C1419FCP
-58.52242121739261;-34.6139207487985;06/06/2017;CALDERON DE LA BARCA, PEDRO;3050;525;360000;685,7;0;17,5;VILLA DEVOTO;COMUNA 11;CALDERON DE LA BARCA, PEDRO 3050;1417;C1417CIZ
-58.481234296051625;-34.60924944585072;06/06/2017;CALFUCURA;2800;100;250000;2500;0;17,5;VILLA SANTA RITA;COMUNA 11;CALFUCURA 2800;1416;C1416EPB
-58.46660509769;-34.60553768986632;15/06/2017;CAMARONES;1800;269;320000;1189,6;3;17,5;VILLA GRAL. MITRE;COMUNA 11;CAMARONES 1800;1416;C1416ECH
